latin	batch=376	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=554076
latin	batch=377	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=553176
latin	batch=378	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=552276
latin	batch=379	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=551376
latin	batch=380	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=550476
latin	batch=381	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=549576
latin	batch=382	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=548676
latin	batch=383	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=547776
latin	batch=384	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=546876
latin	batch=385	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=545976
latin	batch=386	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=545076
latin	batch=387	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=544176
latin	batch=388	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=543276
latin	batch=389	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=542376
latin	batch=390	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=541476
latin	batch=391	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=540576
latin	batch=392	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=539676
latin	batch=393	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=538776
latin	batch=394	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=537876
latin	batch=395	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=536976
latin	batch=396	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=536076
latin	batch=397	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=535176
latin	batch=398	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=534276
latin	batch=399	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=533376
latin	batch=400	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=532476
latin	batch=401	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=531576
latin	batch=402	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=530676
latin	batch=403	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=529776
latin	batch=404	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=528876
latin	batch=405	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=527976
latin	batch=406	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=527076
latin	batch=407	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=526176
latin	batch=408	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=525276
latin	batch=409	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=524376
latin	batch=410	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=523476
latin	batch=411	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=522576
latin	batch=412	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=521676
latin	batch=413	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=520776
latin	batch=414	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=519876
latin	batch=415	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=518976
latin	batch=416	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=518076
latin	batch=417	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=517176
latin	batch=418	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=516276
latin	batch=419	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=515376
latin	batch=420	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=514476
latin	batch=421	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=513576
latin	batch=422	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=512676
latin	batch=423	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=511776
latin	batch=424	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=510876
latin	batch=425	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=509976
latin	batch=426	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=509076
latin	batch=427	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=508176
latin	batch=428	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=507276
